date time;attacker id;att name;att power;att team;defender id;def name;def power;team;attacker patronage;defender patronage;
13/12/24;4668830;TrumpReturns;1120507;Axe Fac Jor Seb K'A Aur;4347766;Grolabar;1033892;Ara Dan Neb Seb Ori Axe;Mar(8108) Axe(11064) Alb(11064) Vex(10154) Cai(11064);Mar(7844) Cai(4773)  ###  Oli(11064) Axe(11064);
13/12/24;4292840;Mangas;1137526;Fen Mar LaC Neb Yas Krv;4818005;Team 4818005;1034574;Ara Mor Pho Pol Mar Axe;Axe(11064) Vex(8782) Cai(11064) Fen(11064) Oli(11064);Mar(11064) Oli(11064) Mer(11064) Kho(4773) Axe(11064);
13/12/24;4750576;NoCanDo;1097731;Bis Pho Iri Cel Mor Dan;4499882;Erdimain;1128251;Ast Gal May Art The Fen;Kho(9048) Bis(9428) Axe(10378) Oli(11064) Cai(11064);Oli(11064) Alb(11064) Axe(7804) Fen(11064) Mer(7804);
13/12/24;4208957;patlacoche;1188657;Axe Seb Kai Dan K'A Krv;4616880;JoJorisar;998667;Ast Yas Dan Isa Ori Axe;Alb(11064) Bis(11064) Cai(11064) Mar(11064) Oli(11064);Oli(11064) Alb(11064) Cai(5683) Axe(11064) Mar(5683);
13/12/24;23402789;Ragto;1128085;Alb Dor Iri Hei Mor Krv;4621490;Teamel VUR;1031541;Aur Dan Neb Seb Mar Mar;Mer(10252) Bis(10364) Axe(11064) Oli(11064) Alb(11064);Mer(9428) Fen(5947) Cai(9428) Alb(9428) Axe(10238);
13/12/24;4750576;NoCanDo;1030450;Axe Iri Cel Dan Ara Ruf;4325679;sakurakko;1120910;Krv Dan Hei Iri Dor Axe;Bis(9428) Axe(10378) Cai(11064) Mar(9018) Oli(11064);Oli(11064) Cai(11064) Bis(7804) Alb(9428) Axe(11064);
13/12/24;4668830;TrumpReturns;1132193;Axe Fac Seb Kai K'A Aur;8607691;Drug addiction;1119001;Krv Dan Kei Seb Mar Alb;Bis(8978) Alb(11064) Axe(11064) Vex(10154) Cai(11064);Oli(11064) Cai(11064) Alb(11064)  ###  Axe(11064);
13/12/24;4712527;HRCAK;1170745;Alb Mar Jhu Cel Yas Aur;4415886;TAKAYUU;1046447;Krv K'A Yas Ori Mar Oli;Oli(11064) Fen(11064) Axe(11064) Alb(11064) Cai(11064);Oli(11064) Fen(4198) Alb(6894) Bis(4729) Axe(11064);
13/12/24;4868542;stratis;985145;Axe Hel Aug Ori Jud Aur;20927731;gabacho;1117150;Yas Dan Seb Iri Mar Axe;Axe(11064) Alb(9428) Mer(11064) Oli(9461) Cai(11064);Cai(4326) Fen(1895) Alb(11064) Bis(11064) Axe(11064);
12/12/24;4668830;TrumpReturns;1129951;Axe Fac Seb Kai K'A Aur;21750389;kuga;1057662;Dan Neb Seb Iri Dor Cai;Bis(8978) Oli(9018) Axe(11064) Vex(10154) Cai(11064);Cai(11064)  ###  Alb(11064) Bis(7262) Axe(11064);
12/12/24;4292840;Mangas;1125823;Fen LaC Seb Neb Yas Krv;21752436;Achilles;1003699;Krv K'A Hei Iri Mar Axe;Vex(8782) Alb(11064) Cai(11064) Fen(11064) Oli(11064);Oli(11064) Fen(10378) Cai(11064) Alb(11064) Axe(11064);
12/12/24;4292840;Mangas;1125823;Fen LaC Seb Neb Yas Krv;6750080;KYO;1131237;Ruf Dan Cel Seb Iri Axe;Vex(8782) Alb(11064) Cai(11064) Fen(11064) Oli(11064);Bis(11064) Cai(11064) Axe(11064) Alb(11064) Oli(11064);
10/12/24;4292840;Mangas;1136939;Fen Mar LaC Neb Yas Krv;4386527;Денис;901509;Ruf Dan Jhu Seb Faf Axe;Axe(11064) Vex(8782) Cai(11064) Fen(11064) Oli(11064);Oli(6894) Cai(6220) Fen(6894) Alb(10154) Mar(3853);
